512	322	452	382	100	304	100	464	724	100	724	668
512	334	464	382	112	292	112	476	736	112	736	656
512	346	476	382	124	280	124	488	748	124	748	644
512	358	488	382	136	268	136	500	760	136	760	632
512	370	500	382	148	256	148	512	772	148	772	620
512	382	512	382	160	244	160	524	784	160	784	608
512	394	524	382	172	232	172	536	796	172	796	596
512	406	536	382	184	220	184	548	808	184	808	584
512	418	548	382	196	208	196	560	820	196	820	572
512	430	560	382	208	196	208	572	832	208	832	560
512	442	572	382	220	184	220	584	844	220	844	548
				232	172	232	596	856	232	856	536
				244	160	244	608	868	244	868	524
				256	148	256	620	880	256	880	512
				268	136	268	632	892	268	892	500
				280	124	280	644	904	280	904	488
				292	112	292	656	916	292	916	476
				304	100	304	668	928	304	928	464
