512	212	152	100	152	668	152	100	152	668	872	100	872	668	464	212	464	572	152	292	152	476	872	292	872	476
512	224	164	100	164	668	152	112	152	656	872	112	872	656	476	212	476	572	164	292	164	476	860	292	860	476
512	236	176	100	176	668	152	124	152	644	872	124	872	644	488	212	488	572	176	292	176	476	848	292	848	476
512	248	188	100	188	668	152	136	152	632	872	136	872	632	500	212	500	572	188	292	188	476	836	292	836	476
512	260	200	100	200	668	152	148	152	620	872	148	872	620	512	212	512	572	200	292	200	476	824	292	824	476
512	272	212	100	212	668	152	160	152	608	872	160	872	608	524	212	524	572	212	292	212	476	812	292	812	476
512	284	224	100	224	668	152	172	152	596	872	172	872	596	536	212	536	572	224	292	224	476	800	292	800	476
512	296	236	100	236	668	152	184	152	584	872	184	872	584	548	212	548	572	236	292	236	476	788	292	788	476
512	308	248	100	248	668	152	196	152	572	872	196	872	572	560	212	560	572	248	292	248	476	776	292	776	476
512	320	260	100	260	668	152	208	152	560	872	208	872	560												
512	332	272	100	272	668	152	220	152	548	872	220	872	548												
512	344	284	100	284	668	152	232	152	536	872	232	872	536												
512	356	296	100	296	668	152	244	152	524	872	244	872	524												
512	368	308	100	308	668	152	256	152	512	872	256	872	512												
512	380	320	100	320	668	152	268	152	500	872	268	872	500												
512	392	332	100	332	668	152	280	152	488	872	280	872	488												
512	404	344	100	344	668	152	292	152	476	872	292	872	476												
512	416	356	100	356	668																				
512	428	368	100	368	668																				
512	440	380	100	380	668																				
512	452	392	100	392	668																				
512	464	404	100	404	668																				
512	476	416	100	416	668																				
512	488	428	100	428	668																				
512	500	440	100	440	668																				
512	512	452	100	452	668																				
512	524	464	100	464	668																				
512	536	476	100	476	668																				
512	548	488	100	488	668																				
512	560	500	100	500	668																				
512	572	512	100	512	668																				
		524	100	524	668																				
		536	100	536	668																				
		548	100	548	668																				
		560	100	560	668																				
		572	100	572	668																				
		584	100	584	668																				
		596	100	596	668																				
		608	100	608	668																				
		620	100	620	668																				
		632	100	632	668																				
		644	100	644	668																				
		656	100	656	668																				
		668	100	668	668																				
		680	100	680	668																				
		692	100	692	668																				
		704	100	704	668																				
		716	100	716	668																				
		728	100	728	668																				
		740	100	740	668																				
		752	100	752	668																				
		764	100	764	668																				
		776	100	776	668																				
		788	100	788	668																				
		800	100	800	668																				
		812	100	812	668																				
		824	100	824	668																				
		836	100	836	668																				
		848	100	848	668																				
		860	100	860	668																				
		872	100	872	668																				
