512	322	452	382	700	76	700	692	324	76	324	692	324	244	700	524	700	244	324	524
512	334	464	382	700	88	700	680	324	88	324	680	312	244	712	524	712	244	312	524
512	346	476	382	700	100	700	668	324	100	324	668	300	244	724	524	724	244	300	524
512	358	488	382	700	112	700	656	324	112	324	656	288	244	736	524	736	244	288	524
512	370	500	382	700	124	700	644	324	124	324	644	276	244	748	524	748	244	276	524
512	382	512	382	700	136	700	632	324	136	324	632	264	244	760	524	760	244	264	524
512	394	524	382	700	148	700	620	324	148	324	620	252	244	772	524	772	244	252	524
512	406	536	382	700	160	700	608	324	160	324	608	240	244	784	524	784	244	240	524
512	418	548	382	700	172	700	596	324	172	324	596	228	244	796	524	796	244	228	524
512	430	560	382	700	184	700	584	324	184	324	584	216	244	808	524	808	244	216	524
512	442	572	382	700	196	700	572	324	196	324	572	204	244	820	524	820	244	204	524
				700	208	700	560	324	208	324	560	192	244	832	524	832	244	192	524
				700	220	700	548	324	220	324	548	180	244	844	524	844	244	180	524
				700	232	700	536	324	232	324	536	168	244	856	524	856	244	168	524
				700	244	700	524	324	244	324	524	156	244	868	524	868	244	156	524
